,Car_Name,Brand,Model,Year,Variant,Fuel_Type,Kms_Driven,City,Price,Test_Drive_Availability
415,Audi A6 Premium Plus,Audi,A6,2022,Premium Plus,Petrol,14000,"Madhapur, Hyderabad",4500000,
416,BMW X5 xDrive 30d,BMW,X5,2018,xDrive 30d,Diesel,76000,"Madhapur, Hyderabad",4500000,
417,Bentley Continental Flying Spur,Bentley,Continental,2011,Flying Spur,Petrol,62000,"Madhapur, Hyderabad",6500000,
418,Mercedes-Benz M-Class ML 250,Mercedes-Benz,M-Class,2015,ML 250,Diesel,43000,"Madhapur, Hyderabad",3300000,
419,Audi A6 Premium Plus,Audi,A6,2022,Premium Plus,Petrol,14000,"Madhapur, Hyderabad",4500000,
420,BMW X1 sDrive20d xLine,BMW,X1,2019,sDrive20d xLine,Diesel,46000,"Madhapur, Hyderabad",2950000,
421,Hyundai Verna Fluidic 1.6,Hyundai,Verna,2011,Fluidic 1.6,Diesel,126265,"Uppal, Hyderabad",330000,
422,Toyota Innova Crysta ZX,Toyota,Innova,2022,Crysta ZX,Diesel,82000,"Attapur, Hyderabad",3000000,
423,Toyota Innova 2.5 V,Toyota,Innova,2008,2.5 V,Diesel,76000,"Attapur, Hyderabad",600000,
424,Toyota Innova Crysta 2.4,Toyota,Innova,2024,Crysta 2.4,Diesel,15140,"Attapur, Hyderabad",2550000,
425,Kia Carnival Premium 8,Kia,Carnival,2021,Premium 8,Diesel,26000,"Madhapur, Hyderabad",2950000,
426,Mercedes-Benz CLA 200 CDI,Mercedes-Benz,CLA,2016,200 CDI,Diesel,52000,"Madhapur, Hyderabad",1800000,
427,MINI Cooper S 3,MINI,Cooper,2018,S 3,Petrol,37000,"Madhapur, Hyderabad",3200000,
428,BMW 5 Series 520d,BMW,5,2018,Series 520d,Diesel,137000,"Madhapur, Hyderabad",2700000,
429,MINI Cooper S,MINI,Cooper,2024,S,Petrol,9400,"Madhapur, Hyderabad",5900000,
430,Toyota Fortuner 4X2 AT,Toyota,Fortuner,2023,4X2 AT,Diesel,95000,"Madhapur, Hyderabad",4200000,
431,BMW X5 xDrive30d Pure,BMW,X5,2018,xDrive30d Pure,Diesel,69164,"Madhapur, Hyderabad",4500000,
432,Toyota Fortuner 4X4 AT,Toyota,Fortuner,2023,4X4 AT,Diesel,53636,"Madhapur, Hyderabad",4200000,
433,Toyota Innova Crysta G,Toyota,Innova,2022,Crysta G,Diesel,28900,"Attapur, Hyderabad",2300000,
434,Mercedes-Benz E-Class E 350,Mercedes-Benz,E-Class,2021,E 350,Diesel,28000,"Rockdale Somajiguda, Hyderabad",5900000,
435,Mercedes-Benz EQS SUV 580,Mercedes-Benz,EQS,2024,SUV 580,Electric,4818,"Rockdale Somajiguda, Hyderabad",21108500,
436,Mercedes-Benz GLS 450d 4MATIC,Mercedes-Benz,GLS,2024,450d 4MATIC,Diesel,10000,"Madhapur, Hyderabad",12300000,
437,Maruti Suzuki Ciaz Alpha,Maruti,Suzuki,2021,Ciaz Alpha,Petrol,45094,"Jntu Kukat Pally,",918000,
438,Maruti Suzuki Vitara Brezza,Maruti,Suzuki,2017,Vitara Brezza,Diesel,114675,"Uppal, Hyderabad",769000,
439,Maruti Suzuki Alto 800,Maruti,Suzuki,2017,Alto 800,Petrol,39514,"Uppal, Hyderabad",290000,
440,Mercedes-Benz EQS SUV 580,Mercedes-Benz,EQS,2024,SUV 580,Electric,4818,"Rockdale Somajiguda, Hyderabad",21108500,
441,Maruti Suzuki Ciaz Alpha,Maruti,Suzuki,2021,Ciaz Alpha,Petrol,45094,"Jntu Kukat Pally,",918000,
442,Volkswagen Vento Highline Diesel,Volkswagen,Vento,2015,Highline Diesel,Diesel,91299,"Uppal, Hyderabad",535000,
443,Maruti Suzuki Alto 800,Maruti,Suzuki,2017,Alto 800,Petrol,39514,"Uppal, Hyderabad",290000,
444,Maruti Suzuki Vitara Brezza,Maruti,Suzuki,2017,Vitara Brezza,Diesel,114675,"Uppal, Hyderabad",769000,
445,Hyundai Grand i10 Nios,Hyundai,Grand,2021,i10 Nios,Petrol,34000,"Attapur, Hyderabad",725000,
446,Renault Duster 85 PS,Renault,Duster,2016,85 PS,Diesel,78369,"Uppal, Hyderabad",535000,
447,Maruti Suzuki Wagon R,Maruti,Suzuki,2018,Wagon R,Petrol,81000,"Attapur, Hyderabad",425000,
448,Toyota Fortuner 2.8 4x2,Toyota,Fortuner,2020,2.8 4x2,Diesel,159323,"Madhapur, Hyderabad",2900000,
449,Mercedes-Benz E-Class E220 CDI,Mercedes-Benz,E-Class,2012,E220 CDI,Diesel,77200,"Attapur, Hyderabad",1150000,
450,Premier Padmini Std,Premier,Padmini,1989,Std,Petrol,25400,"Attapur, Hyderabad",225000,
451,Mercedes-Benz GLE 450d 4MATIC,Mercedes-Benz,GLE,2024,450d 4MATIC,Diesel,9110,"Madhapur, Hyderabad",12500000,
452,Mercedes-Benz E-Class E 220,Mercedes-Benz,E-Class,2019,E 220,Diesel,84233,"Rockdale Somajiguda, Hyderabad",4000000,
453,Mercedes-Benz GLA 220 d,Mercedes-Benz,GLA,2019,220 d,Diesel,26093,"Rockdale Somajiguda, Hyderabad",3000000,
